name,alias,part,age,infection,insurance,department,checklist,symptom,complication,treatment,drug,period,rate,money
阳痿,勃起功能障碍 勃起机能障碍 勃起无力 阳萎 勃起不足,阴茎,成年男性,无传染性,非医保疾病,男科 生殖健康,外生殖器检查 前列腺B超 阴茎超声检查 泌乳素分泌抑制试验 泌乳素兴奋试验  ,心理性性功能障碍 男子性功能障碍 雄激素过少 精冷不育 脉涩或结  ,,药物治疗 心理治疗  ,枸橼酸西地那非... 枸橼酸西地那非... 他达拉非片  ,1-2个月,85%(一般经过有效治疗后可以缓解症状),
乙肝,乙型肝炎,肝,所有人群 主要见于青少年 绝大多数为10~30岁,有传染性,非医保疾病,传染科 肝病,乙肝病毒学指标 凝血酶原时间 乙肝两对半 血清白蛋白与球蛋白比值 血清HBsAg免疫复合物 血清前S1蛋白 血清前S2蛋白 血清抗前S2蛋白 血清免疫球蛋白M 血清乙肝表面抗体  ,转氨酶增高 肝肿大 乙肝表面抗原（HBsAg）阳性 乙肝e抗原（HBeAg）阳性 肝功能异常  ,肝性脑病 肝硬化 腹膜炎 消化道出血 肺炎  ,药物治疗 饮食疗法  ,恩替卡韦分散片 碧云砂乙肝颗粒 注射用盐酸精氨...  ,3-6月,0.00%,市三甲医院约（3000 —— 8000元）;
癫痫,羊癫疯 羊角风,颅脑,所有人群,无传染性,医保疾病,神经内科,贝美格诱发试验 头颅平片 MRI 脑电图 脑血流灌注断层显像  ,四肢抽搐 反复高热 惊厥 昏睡 一过性昏厥  ,肾衰 急性早幼粒细胞白血病 抑郁症  ,药物治疗  ,普瑞巴林胶囊 奥卡西平片 左乙拉西坦片  ,>120天(需要终身治疗),暂无相关资料,市三甲医院约（3000 —— 8000元）
月经不调,月经失调,卵巢 子宫,女性 压力过大型 怕冷型 虚弱型 贫血型,无传染性,非医保疾病,妇科,盆腔和阴道B超 宫颈癌筛查 妇科B超 宫腔镜 宫颈活检  ,月经量多 月经稀少 月经失调 子宫出血 小腹冷痛  ,痛经 经前期综合征 多囊卵巢综合征 黄褐斑 粉刺  ,药物治疗  ,定坤丹 加味益母草膏 艾附暖宫丸  ,1-2个月,69%,市三甲医院约（2000 —— 5000元）
颈椎病,颈椎退行性变 颈椎骨质增生,脊柱,中 老年人  40岁以上,无传染性,医保疾病,骨科 神经内科,颈部活动度 椎间孔挤压试验 颈项强直 臂丛牵拉试验  ,上肢麻痹 肩背痛 颈椎痛 头颈部活动受限 颈部僵硬  ,食管压迫型颈椎病 椎动脉型颈椎病 脊髓型颈椎病 神经根型颈椎病 颈型颈椎病  ,药物治疗 理疗 手术治疗 中医针灸治疗  ,消痛贴膏 颈腰康胶囊 颈复康颗粒  ,3-6个月,50%,
腰肌劳损,,腰部,长期保持坐姿者 中老年人,无传染性,医保疾病,外伤科 骨科,腰背部检查 脊柱压痛与叩击痛 拾物试验 腰背痛体格检查  ,腰酸 弯腰时腰痛 劳累时腰部酸痛或胀痛 腰酸背痛 产育过多后腰痛  ,筋膜炎 椎管狭窄症  ,药物治疗 物理治疗 手术治疗  ,腰痛宁胶囊 腰息痛胶囊 消痛贴膏  ,4周,80%,市三甲医院约（1000 —— 3000元）
尿路感染,尿感 泌尿道感染,阴茎 尿道,育龄女性及绝经后妇女 糖尿病及高龄 免疫缺陷,无传染性,医保疾病,泌尿外科,肾脏B超 放射性核素肾图 逆行肾盂造影 泌尿系统CT 尿路平片  ,复杂性尿路感染 肾脓肿 反复不愈的尿道感染 尿液混浊 真性菌尿  ,肾盂肾炎 肾炎 肾周围炎 尿路梗阻 血尿  ,药物治疗  ,盐酸左氧氟沙星... 盐酸头孢他美酯... 注射用盐酸左氧...  ,2周,90%,市三甲医院约（500-1000元）
股骨头坏死,骨蚀 股骨头无菌性坏死 股骨头缺血性坏死,大腿 下肢骨,中老年人,无传染性,医保疾病,骨科 中西医结合科,四肢的骨和关节平片 骨与关节MRI 4字试验 骨关节及软组织CT  ,髋关节痛 间歇性跛行 大腿刺痛 大腿肌肉萎缩  ,骨关节炎 瘫痪  ,西医治疗 中医治疗 手术治疗  ,通络生骨胶囊 硫酸氨基葡萄糖... 活血健骨片  ,30-100天,20%,据不同医院 收费标准不一致 市三甲医院约（5000 —— 8000元）
精神分裂症,,心理,青壮年 自卑者 工作压力大 抑郁的人大部分都会,无传染性,医保疾病,精神病科,正电子发射计算机断层扫描 颅脑MRI SPECT显像 脑代谢显像 脑蛋白质代谢显像  ,幻觉 思维破裂 思维紊乱 精神运动性兴奋 色情行为  ,心脏病 心力衰竭  ,药物治疗  ,盐酸三氟拉嗪 盐酸氟奋乃静片 卡马西平片  ,30天,10%,市三甲医院约（10000-50000元）
早孕反应,妊娠剧吐 妊娠反应  惡阻,全身,妊娠早期孕妇,无传染性,非医保疾病,产科,尿酮体试验 尿酮体 产科B超 尿HCG 早孕试纸  ,恶心与呕吐 尿频 食欲异常 尿妊娠试验阳性 早孕反应重  ,食管穿孔  ,药物治疗  ,叶酸片 嗣育保胎丸 胎宝胶囊  ,7-14天,95%,
